,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
2322,1.0335821e-05,0.5727859,0.22402261,2.5797022e-05,0.15672755,0.00049309654,0.035787147,0.010124733,1.2250002e-05,1.0539091e-05,2013-05-14,2013
2323,6.513118e-06,0.00013402844,0.915177,1.6255994e-05,0.05062724,0.00030464705,0.03076791,0.0029520462,7.719339e-06,6.641208e-06,2013-05-14,2013
2324,1.1268686e-05,0.00023110496,0.0020230243,2.8125345e-05,0.16950583,0.6072233,0.21744452,0.0035080577,1.3355632e-05,1.1490301e-05,2013-05-22,2013
2325,8.3873565e-06,0.00017184715,0.20356625,2.093388e-05,0.07785398,0.23157983,0.4866537,0.00012661355,9.940685e-06,8.552307e-06,2013-05-23,2013
2326,1.5801526e-05,0.0003245908,0.6756301,3.9438797e-05,0.17345501,0.00078742404,0.13551687,0.014195899,1.872795e-05,1.6112286e-05,2013-05-24,2013
2327,1.3254901e-05,0.03887573,0.002920283,0.009707039,0.472975,0.121548705,0.06649038,0.2874404,1.5709693e-05,1.3515578e-05,2013-05-27,2013
2328,8.6695345e-06,0.002432597,0.77434164,2.1638161e-05,0.02289643,0.0004046452,0.1997444,0.00013089082,1.0275121e-05,8.840034e-06,2013-05-27,2013
2329,1.5925496e-05,0.00032658724,0.6311432,3.974821e-05,0.12399209,0.086001545,0.14949867,0.00894713,1.8874878e-05,1.6238695e-05,2013-05-28,2013
2330,1.4906139e-05,0.00030552584,0.13867617,3.7204012e-05,0.51788586,0.035813723,0.3070087,0.00022502459,1.7666738e-05,1.519929e-05,2013-05-29,2013
2331,1.9566447e-05,0.00040104022,0.79520094,4.883561e-05,0.07458031,0.014547633,0.09041697,0.024741534,2.319013e-05,1.995125e-05,2013-05-31,2013
2332,9.512977e-06,0.015646314,0.63406664,2.37433e-05,0.27534804,0.0065653245,0.06581592,0.0025035986,1.1274768e-05,9.700064e-06,2013-05-31,2013
2333,4.9151745e-06,0.05982039,0.7967762,1.2267711e-05,0.009923624,0.002985743,0.13039184,7.420184e-05,5.8254586e-06,5.0118388e-06,2013-06-03,2013
2334,1.5598525e-05,0.18680139,0.0045594517,3.893213e-05,0.6290361,0.059278857,0.064863116,0.055372164,1.8487353e-05,1.5905294e-05,2013-06-04,2013
2335,4.581703e-06,9.392902e-05,0.48956263,1.1435404e-05,0.38297638,0.00022327133,0.1270485,6.917789e-05,5.4302286e-06,4.671809e-06,2013-06-05,2013
2336,5.0090507e-06,0.0028980311,0.8777374,1.2502015e-05,0.010970271,0.00023954459,0.10805051,7.5618686e-05,5.9367208e-06,5.1075613e-06,2013-06-07,2013
2337,1.1117343e-05,0.38029325,0.011080298,2.774761e-05,0.49363554,0.018474743,0.09628494,0.00016783064,1.3176261e-05,1.1335982e-05,2013-06-10,2013
2338,1.4135043e-05,0.007899666,0.047332603,3.527944e-05,0.20568617,0.63337046,0.105417095,0.00021339672,1.6752834e-05,1.4413029e-05,2013-06-11,2013
2339,4.195243e-06,8.6050306e-05,0.9044872,1.0470845e-05,0.0058516813,0.0030744302,0.0864134,6.3341184e-05,4.972197e-06,4.2777488e-06,2013-06-11,2013
2340,1.8776605e-05,0.019597696,0.02703556,0.0025459467,0.34392497,0.52947336,0.060343325,0.017018987,2.225401e-05,1.9145875e-05,2013-06-11,2013
2341,2.1221553e-05,0.4420985,0.1675782,5.296656e-05,0.12539893,0.1322679,0.06750927,0.06502617,2.5151758e-05,2.1638905e-05,2013-06-12,2013
2342,6.392955e-06,0.018603517,0.8340854,1.5956082e-05,0.010297934,0.0003346708,0.13654551,9.654024e-05,7.5769226e-06,6.5186823e-06,2013-06-12,2013
2343,4.683624e-06,9.624152e-05,0.90991926,1.1689788e-05,0.007607609,0.00023270764,0.04799119,0.03412624,5.5510254e-06,4.7757344e-06,2013-06-13,2013
2344,7.777239e-06,0.3879484,0.08823791,1.9411096e-05,0.21077032,0.15032658,0.16255505,0.00011740941,9.217574e-06,7.930191e-06,2013-06-17,2013
2345,1.1594196e-05,0.0002379176,0.110453494,2.8937782e-05,0.104414515,0.75910664,0.013587074,0.012134252,1.3741427e-05,1.1822213e-05,2013-06-17,2013
2346,2.342648e-05,0.0004798798,0.003164585,5.846981e-05,0.002527039,0.71388984,0.2794515,0.00035365482,2.7765038e-05,2.3887198e-05,2013-06-19,2013
